bimo0001539326,El castigo de vivir : drama en tres actos y en prosa,,,
Mimo0001082500,El atrevido en la Corte : zarzuela en tres actos y en verso,,,
bimo0001056748,Artículos de fantasía,,,
bimo0001072450,"La acción particular en el movimiento pedagógico de la España contemporánea : discurso pronunciado por D. Rafael M. de Labra en el banquete con que el ""Fomento de las Artes"" de Madrid obsequió en el restaurant de Rusia a los organizadores y directores del Congreso Pedagógico Hispano-Portugués-Americano, verificado en octubre de 1892",,,
bimo0001072458,Las colonias de Inglaterra en América discurso pronunciado en el Ateneo Científico-Literario de Madrid en el Curso de Política y Sistemas Coloniales,,,
bimo0001072465,América y la Constitución española de 1912 [i.e. 1812],,,
bimo0001072466,Las Cortes Españolas de 1810-13,,,
bimo0001072468,"La cuestión colonial (1871-96-98) discursos con notas, advertencias, comentarios y extensos prólogos sobre el estado de la cuestión colonial en España desde 1870 a esta parte",,,
bimo0001072470,La cuestión de las jurisdicciones : discurso pronunciado en el Senado el 8 de febrero de 1906,,,
bimo0001072479,Las declaraciones y los decretos de las Cortes de Cádiz sobre América : conferencia dada por Rafael M. de Labra en el Ateneo de Madrid (curso de Historia política contemporánea de España) el día 11 de abril de 1912,,,
bimo0001072483,"Discurso del Excmo. Sr. D. Rafael María de Labra pronunciado en la reunión extraordinaria y sesión pública del 31 de enero de 1905 en honra y memoria del Sr. D. Rafael Torres Campos, secretario general que fue de la sociedad",,,
bimo0001072489,Discurso sobre la abolición de la esclavitud en Inglaterra,,,
bimo0001072493,La educación popular y el Ministerio de Instrucción Pública de España,,,
bimo0001072499,La enseñanza de la religión oficial de España en las escuelas públicas españolas,,,
bimo0001072500,"España y América, 1812-1912 : estudios políticos, históricos y de derecho internacional",,,
bimo0001072503,Estudios biográfico-políticos. Primera serie,,,
bimo0001072505,Los españoles contemporáneos de América : memoria leída en el Ateneo de Madrid en el curso académico de 1915-1916,,,
bimo0001072507,Instancia elevada al poder ejecutivo por don Agustín Mendoza,,,
bimo0001072511,La intimidad ibero-americana discurso pronunciado por Rafael M. de Labra en el banquete celebrado en la noche del 6 de noviembre de 1892 ...,,,
bimo0001072516,"Los maestros, la educación popular y el Estado : notas de un discurso parlamentario publicadas en ""La Escuela Moderna""",,,
bimo0001072520,Orientación americana de España,,,
bimo0001072528,El pesimismo de última hora : discurso inaugural de las conferencias populares del Centro de Instrucción Comercial de Madrid : (curso de 1899),,,
bimo0001072529,La política antillana en la metrópoli española,,,
bimo0001072536,Portugal y sus códigos : estudio de política y legislación contemporáneas,,,
